transit,proximity_score,access,street,neighbourhood,city,state,zipcode,market,smart_location,country_code,country,ZRENT,cost_property,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_score,amenities,square_feet,price,yearly_price,ROI,weekly_price,monthly_price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_communication,review_scores_location,pets,first_review,apartment_age
"Parking is in the driveway and on the street directly in front of my house. There is a bus stop a few blocks away on Cesar Chavez and also 2nd street and Chicon.   There are great neighborhood bars - Weather Up at Cesar and Chicon (it's unmarked, but it's the gray house looking bar). Mr. Natural on that same corner has great vegetarian food. The gas station on the corner is fantastic for local beer, coffee, kombucha and has a good wine selection. Stay Gold and Drinks are also just two blocks away on Cesar. My favorite bar is the Yellow Jacket Social Club on east 5th, just a few blocks away.",2,Front and back yards.,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"1,791.00",336829,30.25409,-97.72566,House,Entire home/apt,8,2,3,4,38,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""High chair"",""Children’s books and toys"",Crib,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,450,164250,387.6361596,,3500,200,45,8,15,17,17,95,10,10,0,11-10-2011,2011
"Getting around is easy. There is a bus line one block away. You can also use Uber or Lyft or bring your own car. Bicycles are available for rent in the area either by the hour, day or week. You will be able to walk to several great resturaunts, bars and shops all within a mile of the house.",3,"This is a free standing house with a deck in front and private back yard, both areas have a table and chairs. One car carport and plenty of street parking.","Austin, TX, United States",Bouldin Creek,Austin,TX,78704,Austin,"Austin, TX",US,United States,"1,500.00",415955,30.25368,-97.7567,House,Entire home/apt,6,1,2,3,45,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""High chair"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,150,54750,31.62481518,1200,3300,0,100,4,8,22,233,99,10,10,1,06-07-2015,2015
,,,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,362.00",431580,30.25426,-97.72431,Guesthouse,Entire home/apt,2,1,1,1,18,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,Essentials,Shampoo,Hangers,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed"",""Long term stays allowed""}",,81,29565,-31.49589879,,,100,18,5,19,27,27,90,10,10,0,21-02-2012,2012
,,,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,500.00",512363,30.27917,-97.71564,Guesthouse,Entire home/apt,4,1,1,1,32,"{TV,Internet,Wifi,""Air conditioning"",""Free parking on premises"",""Pets allowed"",""Pets live on this property"",""Other pet(s)"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",,90,32850,-35.88530007,,2150,150,40,8,11,11,11,98,10,10,1,25-10-2011,2011
,,,"Austin, TX, United States",Windsor Park,Austin,TX,78723,Austin,"Austin, TX",US,United States,"2,400.00",465644,30.3034,-97.68496,House,Entire home/apt,5,,3,2,14,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,175,63875,37.17561055,600,2000,100,25,0,0,0,0,80,10,10,0,13-03-2012,2012
"Buses go frequently down Cesar Chavez to down town, there are tons of scooters and city bike rental stations a few blocks away and many, many cool places within walking distance.",,The guests will have access to the whole house - no one else will be there.,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"1,650.00",734400,30.25434,-97.72825,House,Entire home/apt,4,1,2,2,42,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private living room"",""Private entrance"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,375,136875,86.37663399,,,500,65,14,31,59,69,99,10,10,1,14-03-2012,2012
,,,"Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"6,200.00",1691067,30.25309,-97.77375,Apartment,Entire home/apt,4,2,2,2,22,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Luggage dropoff allowed""}",,350,127750,-24.45597957,,,200,,0,0,0,0,99,10,10,1,20-03-2012,2012
"We can provide shuttle service for small or large groups' upon request and budget. Just ask me about it. Uber and Lyft are a great service to getting around here in downtown Austin, Tx.  It's a fast 20 minute drive to the airport as well.",,You will have access to the entire house and grounds. Happy to help with any and all needs.,"Austin, TX, United States",Clarksville,Austin,TX,78703,Austin,"Austin, TX",US,United States,"2,258.00",715646,30.28281,-97.76417,House,Entire home/apt,16,3,6,17,46,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Baby monitor"",""Outlet covers"",Bathtub,""High chair"",""Children’s books and toys"",""Children’s dinnerware"",""Game console"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout""}",1200,399,145635,103.5014518,,,300,200,17,35,59,330,94,10,10,0,05-12-2011,2011
,,,"Austin, TX, United States",Rosewood,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,495.00",466713,30.28091,-97.70809,House,Entire home/apt,10,2.5,3,3,24,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Long term stays allowed"",Other}",,350,127750,173.7228232,,4500,500,90,29,57,87,359,97,10,9,0,15-03-2012,2012
Buses are cheap and on our street.  Cabs are quick to our area and know it well enough not to get lost.  3 highways no more than 5 minutes away. For travel nurses the major hospitals are 15 minutes away.  How far are certain places: Seton Medical center 8.3 miles 12 minutes St David's Medical Center 7 miles 11 minutes Seton Northwest 4.6 miles 7 minutes  St David's North Austin Medical Center 6.2 miles 9 minutes University Medical Center Brackenridge 7miles  13 minutes  6 street bars 9.1 miles 15 minutes,,"As a guest in our second home you will have access to all items within it. Garage, drawers, restroom, towels, linens, Grassy yard, Kitchen, WIFI, 40in smartTV  LCD ( hulu , vudu, Netflix capable).  All utilities paid by us. All you have to pay is AirBnB.  We do the outside yard work.","Austin, TX, United States",,Austin,TX,78758,Austin,"Austin, TX",US,United States,959,410900,30.36774,-97.7078,Apartment,Entire home/apt,3,2.5,3,3,50,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Outlet covers"",Bathtub,""Stair gates"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,69,25185,-38.70771477,455,1950,600,0,0,29,59,149,97,10,8,0,11-02-2012,2012
"All major ride-share companies, like Lyft, Uber operate in Austin. We also have Ride Austin, a local ride share company, as well as Capital Metro public transit operating busses, paratransit services and a commuter rail system known as the Capital MetroRail.",,There is an electronic deadbolt on the entrance of this home. A unique access code will be provided to you in a set of arrival instruction sent via email.,"Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"2,150.00",1524430,30.25864,-97.75981,Townhouse,Entire home/apt,6,1,2,3,41,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""High chair"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Long term stays allowed""}",,226,82490,-45.88797124,,,250,105,0,0,0,140,96,10,10,0,02-01-2012,2012
"There is a bus stop just outside of the property that takes you downtown, or you can take a 9.00 Uber or cab ride.  The taxi/Fasten (Download the Fasten app its the new Uber) ride to and from the airport is 22.00.  I have one open spot in my garage for a car, and there is unlimited parking anywhere on the property if you have more than one vehicle.",,Entire home.,"Austin, TX, United States",St. Edwards,Austin,TX,78741,Austin,"Austin, TX",US,United States,"1,900.00",429902,30.23223,-97.74579,Townhouse,Entire home/apt,7,3,4,5,38,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed""}",,154,56210,30.75072924,,,100,90,10,29,42,287,96,10,10,0,14-03-2012,2012
,,"Guests will have full run of the house. No other persons will be on property. (There is one small ""owner's closet"" in the hall that is locked. It has items to reset house for next guests. This is the only space that is off limits.)","Austin, TX, United States",West Congress,Austin,TX,78745,Austin,"Austin, TX",US,United States,"1,925.00",408034,30.18844,-97.78975,House,Entire home/apt,8,2,3,3,31,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",""Ethernet connection"",""Luggage dropoff allowed"",""Long term stays allowed""}",,210,76650,87.85199273,,3100,300,60,15,15,15,262,98,10,9,1,05-03-2012,2012
"Hyde Park is very well connected and it is easy to get just about anywhere in Austin within 15 minutes from the house.  The house is on the MetroRapid 801 route which gets you downtown in 5-10 mins! And there are 3 other Metro Buses (#5,#7,#1) as well as the University Shuttle route within a quarter mile of the house that will get you anywhere downtown in about 15 mins.  The location is ideal for guests visiting the University as it is only 1.5 miles from campus and is a very nice 10 minute bike ride to UT and not much more if you want to bike it to the river downtown.",4,Guests are welcome to come and go as they please. I respect my guests privacy and hope for the same in return.,"Austin, TX, United States",Hyde Park,Austin,TX,78751,Austin,"Austin, TX",US,United States,"1,274.00",3307840,30.30944,-97.73181,House,Private room,1,1,1,1,53,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",Bathtub,""Changing table"",""High chair"",""Children’s books and toys"",""Babysitter recommendations"",Crib,""Pack ’n Play/travel crib"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,195,71175,-78.48293751,,1425,100,120,0,0,30,73,99,10,10,1,15-03-2012,2012
"bus, bike, rental bike kiosks, walk, hike,Uber type autos",2,"Outside & Patio area near the loft Parking space in driveway , leave room for another vehicle please.","Austin, TX, United States",Bouldin Creek,Austin,TX,78704,Austin,"Austin, TX",US,United States,"2,100.00",716104,30.25721,-97.75563,Guesthouse,Entire home/apt,4,1,1,4,37,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed""}",,130,47450,-33.73867483,,2800,500,45,16,38,62,330,97,10,10,0,20-02-2012,2012
"There is a bus stop two blocks from the house. Lyft, Uber, and Taxis are available.  Car2Go is an option for longer stays or if you are already a member.",3,"Guests typically only have access to the bedroom and attached bath. Upon advanced approved request, access can be given access to an area with refrigerator and washer/dryer. Upon advanced approved request for longer stays, access can be granted to the remainder of the house including the kitchen.","Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,495.00",466713,30.27448,-97.72692,House,Private room,2,1,1,1,28,"{Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",Refrigerator,""Long term stays allowed"",""Shower gel"",""Trash can""}",,67,24455,-47.60163098,360,1150,,25,9,34,53,315,97,10,10,1,16-01-2012,2012
Bus stop very close walking distance,2,Lovely Casita and amenities  Friendly community residents Campground picnic area Wood burning sauna Nature trails Farm animals,"Austin, TX, United States",East Congress,Austin,TX,78745,Austin,"Austin, TX",US,United States,"1,591.00",277045,30.20948,-97.76969,Guesthouse,Entire home/apt,4,1,1,2,33,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Dog(s),Cat(s),""Other pet(s)"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Host greets you""}",260,65,23725,-14.36409248,,,150,25,23,51,81,356,95,9,10,0,25-01-2012,2012
"There is plenty of free street parking in front of the house. Bus stops (17, 21, 22) and bike rental shops are very close by. Austin B-cycle is our bicycle sharing program, and there are many stations around town, the closest of which is a ten minute walk from our house. The fee is 12 per day or 15 for the weekend with unlimited use. Car2Gos and pedicabs are abundant in our neighborhood. We recommend supporting our local taxi drivers by using Austin Co-op Taxi. If you prefer rideshare apps, Ride Austin is a non-profit that has donated hundreds of thousands of dollars to local charities through riders rounding up their fare, and drivers get 100% of the fare.",4,,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,,,30.25518,-97.73289,House,Entire home/apt,10,3,4,5,45,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Outlet covers"",Bathtub,""Changing table"",""High chair"",""Children’s books and toys"",""Babysitter recommendations"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed""}",2300,525,191625,#DIV/0!,,,500,200,0,0,0,1,100,10,10,0,14-03-2013,2013
The bus from our home is a 5 minute walk. You can walk to Barton Springs/Zilker and many restaurants or bars on South Lamar. Downtown is a short cab ride (5 minutes) or Uber.,3,,"Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"3,328.00",767439,30.25304,-97.76885,House,Entire home/apt,12,4,5,5,17,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,995,363175,373.2297942,,,1500,295,29,56,86,361,97,10,9,0,04-04-2016,2016
,,,"Austin, TX, United States",Long Canyon,Austin,TX,78730,Austin,"Austin, TX",US,United States,,,30.35672,-97.79621,Apartment,Entire home/apt,4,,2,,1,{},,350,127750,#DIV/0!,,,,,0,0,0,0,,,,0,,
"1 Block away is a bus stop that will take you directly to the center of the down town entertainment districts. South Congress, 6th Street, East Austin, Zilker Park, all major hotels and convention centers. All that is about 9 minutes away by bus. VERY convenient to Formula 1 as well.",3,"2 full bath rooms 3 bed room,washer dryer, fully stocked galley kitchen,safe street parking,wifi,cable,easy access to downtown entertainment districts, block to bus & convenient to Formula 1.","Austin, TX, United States",South Manchaca,Austin,TX,78745,Austin,"Austin, TX",US,United States,"1,900.00",347049,30.2135,-97.7809,House,Entire home/apt,6,2,3,3,12,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher""}",1250,600,219000,531.0348106,,,300,75,30,60,90,365,100,10,10,0,22-03-2013,2013
,,,"Austin, TX, United States",Bouldin Creek,Austin,TX,78704,Austin,"Austin, TX",US,United States,"2,950.00",810246,30.25431,-97.75578,House,Entire home/apt,4,1,2,2,2,"{""Pets live on this property"",Dog(s)}",,400,146000,80.19218855,2575,,500,20,0,0,0,0,98,10,10,1,15-03-2012,2012
"There are plenty of ways to get around Austin, with or without your own wheels: - Uber or Lyft for longer trips. - CapMetro (Austin's public transit system) is the easiest way to explore Downtown and the greater Austin area on the cheap. Single bus rides start at 1.25 (transfers not included), while day passes run as little as 2.50. You can buy tickets online, at most grocery stores, or through the CapMetro app, which also gives you up-to-date travel information. - For short trips (when sober), hop on one of the dockless electric scooters currently operating in Austin including LimeBike & Bird. - Had a few? Pedicabs can be an easy way to navigate Downtown at night and on the weekends and are best just hailed from the street. Most pedicab drivers prefer cash, but some take cards. - If you’re a lover of the two-wheeled lifestyle, Austin B-cycle, the city’s docked bike system, has more than 75 kiosks dotting Central Austin, one of which is located on 6th Street! You can sign up for 24-h",5,• Guests will be able to self check-in and are welcome to use the entire property: condo + balcony + rooftop deck!,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"1,896.00",466713,30.26585,-97.73328,Townhouse,Entire home/apt,16,3.5,3,11,47,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Baking sheet"",""Trash can""}",2500,350,127750,173.7228232,,,0,275,8,14,28,267,98,10,10,0,12-03-2012,2012
There is a bus stop on the corner and we are well within walking distance of a lot of great bars and restaurants!,4,,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,000.00",617080,30.25536,-97.72855,House,Entire home/apt,5,1,2,3,14,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector""}",,650,237250,284.4720296,5500,,500,50,0,0,0,0,90,10,8,0,17-03-2014,2014
,,Guest will have access to the entire home. Our home is your home.,"Austin, TX, United States",,Austin,TX,78724,Austin,"Austin, TX",US,United States,"1,560.00",410900,30.28413,-97.64927,House,Entire home/apt,8,2.5,3,3,46,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,Crib,""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Baking sheet"",""Trash can""}",,230,83950,104.3076174,1900,6500,0,175,6,24,48,129,96,10,10,1,19-03-2012,2012
The nearest bus stop is a short walk from the house. You can easily get downtown relatively quickly without a car. The train station is about a mile away.,2,"While we do have lots of space, we prefer to be the only people throwing parties at the house. Any guests in the home beyond those listed on the inquiry will be subject to a 50 charge per person.","Austin, TX, United States",Georgian Acres,Austin,TX,78753,Austin,"Austin, TX",US,United States,,,30.35229,-97.69454,House,Entire home/apt,10,1.5,4,7,20,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,625,228125,#DIV/0!,,,500,150,30,60,90,365,100,10,9,0,14-03-2012,2012
"Close to B-cycle rentals, buses on S. Lamar, Smart Cars, Uber, taxis readily available.",2,Guests have access to entire house and yard.,"Austin, TX, United States",Barton Hills,Austin,TX,78704,Austin,"Austin, TX",US,United States,"1,850.00",367619,30.25407,-97.77818,House,Entire home/apt,6,2,3,3,41,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,750,273750,644.6568322,,,500,125,0,0,2,7,,,,1,23-06-2018,2018
,,Full use of the Spartanette and the covered stone patio in front of it. There is a firepit and firewood for guest use as long as someone remains with the fire at all times.,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"1,750.00",379724,30.27752,-97.71919,Guesthouse,Entire home/apt,3,1,1,1,29,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Luggage dropoff allowed""}",,95,34675,-8.683675512,,,200,30,13,37,67,157,97,10,10,1,21-02-2012,2012
,,,"Austin, TX, United States",Barton Hills,Austin,TX,78704,Austin,"Austin, TX",US,United States,"3,700.00",837961,30.2509,-97.78843,House,Entire home/apt,8,2,3,5,28,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace""}",,500,182500,117.7905654,,,1000,150,0,0,0,0,100,10,9,1,13-03-2013,2013
